movieId,title,genres,mean_rating,n_votes,year
1,Toy Story (1995),Comedy,3.92093023255814,215,1995
3,Grumpier Old Men (1995),Comedy,3.25961538461538,52,1995
5,Father of the Bride Part II (1995),Comedy,3.07142857142857,49,1995
6,Heat (1995),Thriller,3.94607843137255,102,1995
7,Sabrina (1995),Comedy,3.18518518518519,54,1995
10,GoldenEye (1995),Thriller,3.49621212121212,132,1995
16,Casino (1995),Drama,3.92682926829268,82,1995
17,Sense and Sensibility (1995),Drama,3.77611940298507,67,1995
19,Ace Ventura: When Nature Calls (1995),Comedy,2.72727272727273,88,1995
25,Leaving Las Vegas (1995),Drama,3.625,76,1995
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Thriller,3.98305084745763,177,1995
34,Babe (1995),Drama,3.65234375,128,1995
36,Dead Man Walking (1995),Drama,3.83582089552239,67,1995
39,Clueless (1995),Comedy,3.29326923076923,104,1995
47,Seven (a.k.a. Se7en) (1995),Thriller,3.97536945812808,203,1995
48,Pocahontas (1995),Drama,3.14705882352941,68,1995
50,"Usual Suspects, The (1995)",Thriller,4.23774509803922,204,1995
62,Mr. Holland's Opus (1995),Drama,3.70625,80,1995
95,Broken Arrow (1996),Thriller,3.02380952380952,84,1996
104,Happy Gilmore (1996),Comedy,3.43939393939394,99,1996
110,Braveheart (1995),Drama,4.03164556962025,237,1995
112,Rumble in the Bronx (Hont faan kui) (1995),Comedy,3.54347826086957,46,1995
141,"Birdcage, The (1996)",Comedy,3.49418604651163,86,1996
150,Apollo 13 (1995),Drama,3.84577114427861,201,1995
151,Rob Roy (1995),Drama,3.54545454545455,44,1995
153,Batman Forever (1995),Comedy,2.91605839416058,137,1995
165,Die Hard: With a Vengeance (1995),Thriller,3.55555555555556,144,1995
168,First Knight (1995),Drama,3.08333333333333,54,1995
172,Johnny Mnemonic (1995),Thriller,2.67924528301887,53,1995
185,"Net, The (1995)",Thriller,3.04017857142857,112,1995
186,Nine Months (1995),Comedy,2.82291666666667,48,1995
216,Billy Madison (1995),Comedy,3.3265306122449,49,1995
223,Clerks (1994),Comedy,3.85576923076923,104,1994
231,Dumb & Dumber (Dumb and Dumber) (1994),Comedy,3.06015037593985,133,1994
236,French Kiss (1995),Comedy,3.47777777777778,45,1995
252,I.Q. (1994),Comedy,3.45348837209302,43,1994
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama,3.45871559633028,109,1994
261,Little Women (1994),Drama,3.88095238095238,42,1994
266,Legends of the Fall (1994),Drama,3.39705882352941,68,1994
282,Nell (1994),Drama,3.3375,40,1994
288,Natural Born Killers (1994),Thriller,3.23369565217391,92,1994
300,Quiz Show (1994),Drama,3.51851851851852,81,1994
318,"Shawshank Redemption, The (1994)",Drama,4.42902208201893,317,1994
329,Star Trek: Generations (1994),Drama,3.39351851851852,108,1994
333,Tommy Boy (1995),Comedy,3.78,50,1995
